xy,trap,time,yfpmean,area,yfpmean5by5,yfpsd5by5,yfpmax5by5,num5by5
24,3,7,0.00321851806508504,430,0.00323305817399787,2.78012928131332e-05,0.00330693522545205,261
24,3,8,0.00321672475581044,422,0.00323010874297075,2.7668646316801e-05,0.00328984512092775,255
24,3,9,0.0032179541556789,422,0.00323109250108833,2.32772540340142e-05,0.00329411764705882,255
24,3,10,0.00322359493154592,422,0.0032303720358976,1.13789706852558e-05,0.00325993743801022,255
24,3,11,0.00322026945516738,446,0.00322918911154205,1.17762937022767e-05,0.00326543068589303,273
24,3,12,0.00323590482065345,446,0.00324285627650242,1.06126173934207e-05,0.00326970321202411,273
24,3,13,0.00322975662556833,438,0.00323479193640404,1.13840828725999e-05,0.00326787212939651,268
24,3,14,0.00322501866443145,438,0.00323502423793142,1.31241033023298e-05,0.00325871671625849,268
24,3,15,0.00322789349202715,450,0.00323474958540356,1.28637373313116e-05,0.00326665140764477,277
24,3,16,0.00323769317497858,450,0.00324729834059514,1.18213754187646e-05,0.00327336537727932,277
24,3,17,0.00323097920534404,450,0.00323856819694825,1.13005166107603e-05,0.0032660410467689,277
24,3,18,0.0032232140586455,450,0.0032308582593863,9.38025619913482e-06,0.00325505455100328,277
24,3,19,0.00321680526944889,450,0.00322606791807172,1.74884683694416e-05,0.00327153429465171,277
24,3,20,0.00321151547519136,450,0.00322374986882475,2.40533125978166e-05,0.00327580682078279,277
24,3,21,0.00321070166069021,450,0.00321923275764955,1.71746925289066e-05,0.00325810635538262,277
24,3,22,0.00320683604180971,450,0.00321602450698073,1.86460432892357e-05,0.00325871671625849,277
24,3,23,0.00321822944482591,450,0.0032236749508833,1.22771799512757e-05,0.00325322346837568,277
24,3,24,0.00321662841106873,459,0.00322281541894507,1.43036052187005e-05,0.00325993743801022,283
24,3,25,0.00322154853141886,459,0.00322901608155327,1.09903089352219e-05,0.00325261310749981,283
24,3,26,0.00321702733974577,459,0.00322447396139575,1.40716688643458e-05,0.00325383382925154,283
24,3,27,0.00321503269636058,459,0.00322239485226382,1.11831822902282e-05,0.00324956130312047,283
24,3,28,0.00321303365408723,461,0.00322259834372687,1.25725466007512e-05,0.00325383382925154,285
24,3,29,0.00321227235798393,461,0.00322028968048411,1.2322166406982e-05,0.00324773022049287,285
24,3,30,0.00321257025645913,461,0.00321712865363225,9.32193871719018e-06,0.00323613336385138,285
24,3,31,0.00321022315173459,466,0.00322038776055713,1.56294473778622e-05,0.00325749599450675,286
24,3,32,0.00320704691756296,466,0.00321479847687218,1.31443146368391e-05,0.00325261310749981,286
24,3,33,0.0032066212366946,466,0.00321642041486399,1.96919038210464e-05,0.00326726176852064,286
24,3,34,0.00320131659818115,466,0.00321244666678405,1.79612768696518e-05,0.00325444419012741,286
24,3,35,0.00320154365578626,471,0.00321299208706976,1.90265646374007e-05,0.00326909285114824,291
24,3,36,0.0032028071416758,471,0.00321512939886533,2.03540202314932e-05,0.00325566491187915,291
24,3,37,0.0032038438480467,471,0.00321519651758707,2.43955219997276e-05,0.0032831311512932,291
24,3,38,0.00320847662964166,471,0.00321587399718469,1.36942787260905e-05,0.00324101625085832,291
24,3,39,0.00320956103879095,508,0.00321802090486,1.19294034178367e-05,0.00324223697261006,320
24,3,40,0.00321373624360126,508,0.00322036888685435,1.03285603273995e-05,0.00325078202487221,320
24,3,41,0.00321505789116712,508,0.00322462615396353,1.49953445894324e-05,0.00326298924238956,320
24,3,42,0.00320998156301645,508,0.00321793698023957,1.34661845578085e-05,0.00323918516823072,320
24,3,43,0.00321385639337998,508,0.00322195963988708,1.16877497905075e-05,0.00324773022049287,320
24,3,44,0.00321354416507571,522,0.00322241873992847,1.45211873757642e-05,0.00325688563363088,330
24,3,45,0.00321140859523812,533,0.00322138327787788,1.77948215456524e-05,0.00326482032501717,337
24,3,46,0.0032067707686954,533,0.00321464938548478,1.43700348197789e-05,0.00324650949874113,337
24,3,47,0.00321215293776966,533,0.00322075118308359,1.19578132336195e-05,0.00324467841611353,337
24,3,48,0.00321349848003823,533,0.00322046139750454,1.3090602182227e-05,0.00325139238574807,337
24,3,49,0.00321198116641623,533,0.00321936021230416,1.28816946987888e-05,0.00325200274662394,337
24,3,50,0.00321103642397234,533,0.00321857054660125,1.1559167017836e-05,0.0032452887769894,337
24,3,51,0.0032026768847719,533,0.00321066483377288,1.51262313668133e-05,0.00325383382925154,337
24,4,1,0.00321047037906146,329,0.0032186048785875,1.08714155194096e-05,0.00323796444647898,181
24,4,2,0.00320601789850802,329,0.00321227533513997,1.22532963507478e-05,0.00323247119859617,181
24,4,3,0.0032139952594996,329,0.00322160610057382,9.80815720243244e-06,0.00324589913786526,181
24,4,4,0.00320397717825435,329,0.00320657638552551,1.07440316156434e-05,0.00323552300297551,181
24,4,5,0.0032035133781967,329,0.00321230231241625,3.07337441796891e-05,0.00329167620355535,181
24,4,6,0.00320328147816788,329,0.00321464259113367,2.18898525805961e-05,0.0032813000686656,181
24,4,7,0.00319864347759138,329,0.00320706872081765,9.51553020178293e-06,0.0032318608377203,181
24,4,8,0.00320381962066955,345,0.00321196560316028,1.07512485274852e-05,0.00323857480735485,193
24,4,9,0.00319855636384142,345,0.00320692775406568,1.29215059486346e-05,0.0032300297550927,193
24,4,10,0.0032050138049919,345,0.00321431217191621,1.42909017126778e-05,0.00324345769436179,193
24,4,11,0.00320554455357961,345,0.00321278468848074,1.18877280018637e-05,0.00323613336385138,193
